Name,Address,Open Hours,Google Rating,Weighted Score,Website,Phone Number,Coordinates
Tortas Food Truck,"311 Sagamore Pkwy N, Lafayette, IN 47905, United States",05:00 pm - 08:00 pm,4.8,4.56,https://www.facebook.com/pages/category/Product-Service/Los-Chaparritos-Food-Truck-103707331382775/,(765) 607-3341,"(40.419588, -86.85634549999999)"
Tacos Mexico Food Truck,"3109 South St, Lafayette, IN 47904, United States",Unknown,4.6,3.95,http://www.tacosmexicolafayette.com/,(765) 701-3990,"(40.4173621, -86.8614961)"
Famous Frank's,"30 Pierce St, West Lafayette, IN 47906, United States",11:00 pm - 03:30 am,4.1,3.71,Unknown,Unknown,"(40.4238396, -86.90906869999999)"
The Guac Box,"1400 W State St STE K, West Lafayette, IN 47906, United States",11:00 am - 01:00 am,4.2,4.09,http://theguacbox.com/,(765) 421-3230,"(40.4253384, -86.92936739999999)"
Grilled Chicken and Rice,"1400 W State St Suite M, West Lafayette, IN 47906, United States",11:00 am - 09:00 pm,4.7,4.59,https://ordergcr.com/,(765) 701-0091,"(40.4254113, -86.92936689999999)"
Tastes of Chicago,"311 Sagamore Pkwy N, Lafayette, IN 47904, United States",12:00 pm - 06:00 pm,4.0,2.96,Unknown,(773) 997-6090,"(40.4188634, -86.857616)"
Flaming Kuma,"342 E State St, West Lafayette, IN 47906, United States",11:00 am - 10:00 pm,4.6,4.28,https://flamingkuma.com/,(765) 770-0167,"(40.4214571, -86.90176939999999)"
Wicked Food Shack,"2070 S 22nd St, Lafayette, IN 47905, United States",11:00 am - 07:00 pm,4.9,4.8,Unknown,(765) 409-7743,"(40.3970926, -86.8713422)"
The Latin Flavor - Food Truck,"9130 E 38th St, Indianapolis, IN 46235, United States",11:00 am - 11:00 pm,4.1,3.88,http://thelatinflavorindy.com/?utm_source=gmb&utm_medium=referral,(317) 895-9259,"(39.8264053, -86.00684059999999)"
big Jerry Indy food truck,"8522 Madison Ave, Indianapolis, IN 46227, United States",10:30 am - 07:00 pm,5.0,2.5,Unknown,(317) 331-9921,"(39.6427315, -86.12018)"
Farmer's Fridge,"1198 3rd Street, West Lafayette, IN 47907, United States",Unknown,5.0,3.14,https://www.farmersfridge.com/,(312) 229-0099,"(40.4275696, -86.92148209999999)"
BBQ District,"Purdue University, PMU 101, Grant St, West Lafayette, IN 47906, United States",11:00 am - 03:00 pm,5.0,2.5,Unknown,Unknown,"(40.4253311, -86.9115087)"
The Taste Of Tippecanoe,"638 North St, Lafayette, IN 47901, United States",Unknown,4.2,3.94,http://www.tasteoftippecanoe.org/,(765) 423-2787,"(40.421201, -86.8898068)"
Boiler Market Inc,"320 W State St, West Lafayette, IN 47906, United States",Unknown,3.7,3.17,Unknown,Unknown,"(40.424076, -86.90899449999999)"
Kone Heads FoodTruck,"7260 Michigan Rd, Indianapolis, IN 46268, United States",12:00 pm - 09:00 pm,5.0,3.14,Unknown,(317) 506-9653,"(39.88564, -86.21143599999999)"
